店名,場所,経度,緯度
ファミリーマート／三国新保店,福井県坂井市三国町新保 ９７−２３−３２,136.13661,36.19811
ファミリーマート／勝山荒土町店,福井県勝山市荒土町松ケ崎 ３−１１５,136.47878,36.07195
ファミリーマート／丸岡インター店,福井県坂井市丸岡町猪爪７丁目 １２１,136.27507,36.14077
ローソン／金津菅野店,福井県あわら市菅野 ６０−２−１,136.23799,36.20571
ローソン／丸岡南横地店,福井県坂井市丸岡町南横地 ４−５３,136.24919,36.12543
ミニストップ高浜日置店,福井県大飯郡高浜町青 １７−１０−４,135.50421,35.48575
ファミリーマート／勝山北郷店,福井県勝山市北郷町坂東島 ８−８,136.4243,36.0809
ローソン／敦賀木崎店,福井県敦賀市木崎 １２−１２−１,136.04826,35.64009
ファミリーマート／越前庄田店,福井県越前市庄田町 １−３,136.1916,35.89
ローソン／福井花月店,福井県福井市花月３丁目 １−３,136.20818,36.06808
ローソン／鯖江神明店,福井県鯖江市神明町５丁目 ４０３８,136.1893,35.98051
ローソン／福井赤十字病院店,福井県福井市月見２丁目 ４−１,136.21451,36.04631
セブン‐イレブン／福井運動公園店,福井県福井市福２丁目 １９１７,136.19043,36.04924
ファミリーマート／小浜東市場店,福井県小浜市東市場 ３４−１２−４,135.79396,35.47768
セブン‐イレブン／あわら大溝店,福井県あわら市大溝２丁目 ６０３,136.2233,36.21035
ファミリーマート／敦賀曙町店,福井県敦賀市曙町 １−２４,136.07655,35.65829
ローソン／小浜岡津店,福井県小浜市岡津 ４８−１０,135.66338,35.48602
Ｙショップ武生横市店,福井県越前市横市町 ２２−２９−５,136.19611,35.90664
ローソン／越前村国店,福井県越前市村国３丁目 ６７−１,136.18402,35.9083
ファミリーマート／三方五湖ＰＡ店,福井県三方上中郡若狭町生倉 １８−６−１,135.90707,35.56092
ローソン／福井石盛町店,福井県福井市石盛町 １４−２０−１,136.22667,36.11647
ファミリーマート／福井若杉浜三丁目店,福井県福井市若杉浜３丁目 ７０４,136.18668,36.06031
ファミリーマート／福井県立武道館口店,福井県福井市三ツ屋１丁目 ５０１,136.19229,36.08389
ミニストップ／敦賀古田刈店,福井県敦賀市古田刈 ３−４−２,136.06851,35.6324
ファミリーマート／越前芝原店,福井県越前市芝原５丁目 ４−２１,136.15852,35.92192
ファミリーマート／鯖江住吉町一丁目店,福井県鯖江市住吉町１丁目 １−２２−１,136.18253,35.94378
ファミリーマート／本町通り店,福井県福井市順化２丁目 ２−１０,136.21329,36.06409
オレボステーション／高木中央,福井県福井市高木中央２丁目 １７２４,136.23531,36.09326
セブン‐イレブン／福井つくし野店,福井県福井市定正町 １３１４,136.2229,36.11928
ローソン／福井光陽２丁目店,福井県福井市光陽２丁目 １０−１０,136.19768,36.06691
ローソン／福井河増店,福井県福井市河増町 ２９−３０−１,136.25378,36.06187
ローソン／丸岡一本田店,福井県坂井市丸岡町一本田福所 ２３−１−３,136.26529,36.15856
セブン‐イレブン／丸岡インター店,福井県坂井市丸岡町猪爪１丁目 ３３８,136.27539,36.14287
ファミリーマート／武生中央公園前店,福井県越前市高瀬２丁目 ２−４,136.16057,35.90042
ファミリーマート／小林木部店,福井県坂井市坂井町木部新保 ３２−１０−２,136.16786,36.16908
ファミリーマート／越前西尾町店,福井県越前市西尾町 ５１−６６−１,136.21346,35.88921
ローソン／福井北四ツ居店,福井県福井市北四ツ居１丁目 ８−２,136.2426,36.06351
セブン‐イレブン／越前芝原４丁目店,福井県越前市芝原４丁目 ７２３,136.15971,35.91936
セブン‐イレブン／越前吉野店,福井県越前市芝原５丁目 ２１−２,136.16203,35.92538
ファミリーマート／越前押田店,福井県越前市押田２丁目 １０−７,136.19002,35.908
ローソンプラス福井町屋店,福井県福井市町屋２丁目 ７−１,136.23157,36.07812
ファミリーマート／三方鳥浜店,福井県三方上中郡若狭町鳥浜 ５７−１５−３,135.90186,35.55429
ファミリーマート／敦賀野神店,福井県敦賀市野神 ４−８−１,136.05412,35.63456
ファミリーマート／福井高木中央店,福井県福井市高木中央１丁目 ２４０６,136.23303,36.0892
ファミリーマート／鯖江下野田店,福井県鯖江市下野田町 ３２−１０−１,136.14755,35.94513
ローソン／永平寺花谷店,福井県吉田郡永平寺町花谷 ４−８−１,136.34225,36.08942
セブン‐イレブン／春江町為国店,福井県坂井市春江町為国 ６−１,136.22537,36.13445
ファミリーマート／あわら舟津店,福井県あわら市舟津 ７６−９−１,136.18405,36.2299
ファミリーマート／丸岡北店,福井県坂井市丸岡町長畝 １６−１,136.274,36.1693
ファミリーマート／小浜運動場前店,福井県小浜市口田縄 １６−１０,135.72699,35.45671
ファミリーマート／福井大和田店,福井県福井市大和田１丁目 ３０２,136.25569,36.09508
ローソン／丸岡笹和田店,福井県坂井市丸岡町笹和田 １−６−１,136.25668,36.14757
ファミリーマート／御油田店,福井県坂井市坂井町御油田 ２４−１−１,136.25055,36.1719
セブン‐イレブン／あわら国影店,福井県あわら市国影 １５−１−１,136.20459,36.22207
ファミリーマート／敦賀山泉店,福井県敦賀市山泉 ９−５０７,136.06607,35.62309
セブン‐イレブン／福井明里店,福井県福井市小山谷町 １１−５０,136.20653,36.05582
ファミリーマート／坂井長畑店,福井県坂井市坂井町長畑 ２２−６−１,136.23537,36.16621
ローソン／越前王子保店,福井県越前市四郎丸町 ４７−７−１,136.16716,35.87335
ローソン／敦賀三島店,福井県敦賀市三島町１丁目 １６−２,136.06328,35.65281
ファミリーマート／道の駅九頭竜店,福井県大野市朝日 ２６−３０−１,136.66327,35.90122
ローソン／小浜和久里店,福井県小浜市和久里 ３４−５,135.75847,35.48586
ファミリーマート／敦賀新松島店,福井県敦賀市新松島町 １３−１０,136.05403,35.64601
ファミリーマート／越前小松店,福井県越前市小松２丁目 ６−６,136.15425,35.90586
ファミリーマート／武生家久店,福井県越前市家久町 ５７−１５−１,136.16356,35.92863
ファミリーマート／勝山郡町店,福井県勝山市郡町１丁目 １−９,136.49478,36.0682
ファミリーマート／勝山南店,福井県勝山市猪野 ７０４,136.51662,36.04525
ローソン／福井加茂河原店,福井県福井市加茂河原３丁目 ９−１３,136.19232,36.06322
ファミリーマート／福井大学病院前店,福井県吉田郡永平寺町松岡兼定島 ３５−８−１,136.28799,36.10934
ファミリーマート／今庄店,福井県南条郡南越前町今庄 ５５−４−７,136.19783,35.77398
ローソン美浜河原市店,福井県三方郡美浜町河原市 ５２−１−１,135.9404,35.60417
ローソン／福井裁判所前店,福井県福井市宝永４丁目 ３−１４,136.21809,36.06742
セブン‐イレブン／永平寺町松岡店,福井県吉田郡永平寺町松岡春日１丁目 １４−３,136.29872,36.09159
セブン‐イレブン／福井高木中央１丁目店,福井県福井市高木中央１丁目 ２６０４,136.23178,36.08951
ファミリーマート／女形谷ＰＡ上り店,福井県坂井市丸岡町女形谷 ２３−６３−２,136.29097,36.16585
ファミリーマート／石本金山店,福井県敦賀市金山 ７６−６−１,136.03148,35.62554
ローソン／福井下森田店,福井県福井市下森田新町 ４１７,136.23294,36.10615
セブン‐イレブン／敦賀昭和町１丁目店,福井県敦賀市昭和町１丁目 １−４５,136.06287,35.64662
ローソン／大野春日店,福井県大野市春日 ４−１,136.50154,35.96989
有限会社アイエフ,福井県敦賀市津内町１丁目 ５−５,136.07109,35.65292
セブン‐イレブン／福井春日町店,福井県福井市春日町 ２２１−２,136.2196,36.05006
セブン‐イレブン／丸岡下安田店,福井県坂井市丸岡町下安田 ２６−４４−５,136.26013,36.12453
ファミリーマート／丹生越前町店,福井県丹生郡越前町気比庄 ３３字杉縄手２０−１,136.14537,35.97985
ローソン／越前芝原店,福井県越前市芝原５丁目 １−３,136.16132,35.92034
ローソン／坂井町下関店,福井県坂井市坂井町下関 ３１−１１,136.22096,36.19237
ファミリーマート／芦原下番店,福井県あわら市下番 ５７−１−１,136.19417,36.19663
ローソン／坂井町上兵庫店,福井県坂井市坂井町上兵庫 ３８−６−１,136.22014,36.1677
ローソン／坂井町下兵庫店,福井県坂井市坂井町下兵庫 ２２６−５−１,136.19772,36.1753
ローソン／福井問屋町店,福井県福井市問屋町４丁目 １０１,136.25461,36.05327
ローソン／鯖江川去店,福井県鯖江市川去町 ７−６−１,136.14586,35.97115
ローソン／武生四郎丸店,福井県越前市四郎丸町 ２２−２０,136.16212,35.86578
オレボステーション／北鯖江店,福井県鯖江市下河端町 ８４−１２,136.20216,35.97218
オレボステーション／フェニックス,福井県福井市松本４丁目 １２−１２,136.21858,36.07424
ローソン／越前芝原店,福井県越前市芝原５丁目 １−３,136.16132,35.92034
みはらコンビニエンスストア,福井県越前市国府２丁目 ４−１,136.16689,35.90628
セブン・イレブン／長野花咲町店,長野県長野市大字長野 １２３７−７,138.17844,36.67581
有限会社スーパーあらい,長野県長野市西三才 ２３５７−１,138.24042,36.6846
セブンイレブン／佐久インター西店,長野県佐久市岩村田北１丁目 ２８−４,138.48538,36.28877
ローソン／東部別府店,長野県東御市滋野 ４６１３−１,138.3573,36.35377
セブンイレブン／中軽井沢店,長野県北佐久郡軽井沢町大字長倉 ３３５６−１,138.58704,36.35381
セブン・イレブン／長野アップルライン店,長野県長野市大字赤沼 ２０３０−１,138.27328,36.69789
セブンイレブン／松本駅前店,長野県松本市中央１丁目 ２−２５,137.96512,36.23169
セブンイレブン／小諸水押店,長野県小諸市丙 ４０７−１,138.40987,36.33609
ローソン／下諏訪社店,長野県諏訪郡下諏訪町社東町 ４−４,138.07382,36.08288
セブンイレブン／菅平高原店,長野県上田市菅平高原 １２２３−１６４１,138.32292,36.52972
ローソン／小諸インター店,長野県小諸市大字滝原 １６９３−１,138.40417,36.35114
セブンイレブン／諏訪中洲福島店,長野県諏訪市大字中洲 ３７７１−１,138.12679,36.00751
ローソン／丸子腰越店,長野県上田市腰越 ４６５−１,138.24864,36.30105
モンマートいぎみ,長野県飯田市鼎中平 ２５４４−１,137.82455,35.50647
セブン・イレブン／篠ノ井南店,長野県長野市篠ノ井二ツ柳 ２３３１−１,138.12665,36.5703
セブンイレブン／飯田羽場町店,長野県飯田市羽場町２丁目 １３−８,137.80881,35.51828
セブンイレブン／中野市江部北店,長野県中野市大字岩船 １８−２,138.35974,36.74408
セブンイレブン／上田中丸子店,長野県上田市中丸子 １７４２−３,138.28073,36.32853
ローソン／西軽井沢中央店,長野県北佐久郡御代田町大字馬瀬口 １６７０−２,138.5121,36.32907
ローソン／御代田塩野店,長野県北佐久郡御代田町大字塩野 ３２８９−１,138.50085,36.33831
ローソン／東御井高店,長野県佐久市蓬田 ２０９−２,138.37451,36.27185
ローソン／佐久蓬田店,長野県松本市平田東１丁目 ２６−１３,137.9671,36.20055
ローソン／松本平田東１丁目店,長野県小諸市南町２丁目 ２７１２−１,138.42758,36.32268
ローソン／小諸南町店,長野県上田市天神１丁目 １８４７−８,138.25018,36.39713
ファミリーマート／上田天神店,長野県松本市清水２丁目 ８−３０,137.98578,36.23738
セブンイレブン／松本清水店,長野県松本市野溝木工２丁目 ７−５１,137.95601,36.20032
セブンイレブン／松本木工町店,長野県長野市大字鶴賀問御所町 １３０５−１,138.18813,36.65167
セブン・イレブン／長野問御所店,長野県駒ヶ根市赤穂北割一区 ９２８−６,137.92206,35.72798
セブンイレブン／駒ケ根インター店,長野県上高井郡小布施町大字雁田 ９７７−３,138.32516,36.68856
セブン・イレブン小布施雁田店,長野県岡谷市川岸上１丁目 ４−１８,138.03072,36.0511
セブンイレブン／岡谷川岸店,長野県岡谷市岡谷 １１４９−４,138.05035,36.06792
セブンイレブン／今井店,長野県松本市中央１丁目 ２−２５,137.96512,36.23169
株式会社セブン・イレブン・ジャパン松本地区事務所,長野県長野市三輪７丁目 ７−１,138.19308,36.65871
セブン・イレブン／善光寺下店,長野県須坂市大字塩川 ３９４−２,138.30162,36.65703
ファミリーマート／須坂駅西口店,長野県北佐久郡立科町大字芦田八ケ野 １５７０−１,138.29788,36.11634
ローソン／白樺湖蓼科店,長野県松本市双葉 ２８１１−１,137.96381,36.21017
セブンイレブン／松本双葉店,長野県安曇野市穂高柏原 ２８２８−５１,137.87309,36.31968
セブンイレブン／安曇野穂高柏原店,長野県上田市神畑 ２４８−１,138.21931,36.38245
ファミリーマート／上田神畑店,長野県須坂市大字須坂春木町 ９８０−１,138.30896,36.65745
セブン・イレブン／須坂春木町店,長野県安曇野市豊科 ８７７−２,137.90771,36.27755
ファミリーマート／安曇野下鳥羽店,長野県下伊那郡豊丘村大字神稲 ９０７９−１,137.9173,35.53497
ファミリーマート信州豊丘店,長野県松本市中央２丁目 ７−１,137.96945,36.2313
ファミリーマート／松本中央二丁目店,長野県北安曇郡白馬村大字神城飯森 ２４１９４−３５,137.84612,36.67484
ローソン／白馬神城店,長野県木曽郡木曽町日義 ５３４−１,-99999.89844,-99999.89844
セブンイレブン／木曽町神谷入口店,長野県飯田市鼎一色 ３９２−１,137.81355,35.50169
ローソン／飯田バイパス店,長野県佐久市野沢 ４７９−６,138.46355,36.22367
セブンイレブン／佐久野沢西店,長野県塩尻市大字広丘吉田 １００８−５,137.95822,36.1622
セブンイレブン／塩尻北店,長野県北安曇郡小谷村大字中小谷丙 ２２６０,137.90663,36.78094
ローソン小谷店,長野県諏訪市大字中洲 ５４０３−１,138.11861,36.02037
ファミリーマート／諏訪中洲福島店,長野県安曇野市豊科田沢 ６９５１−１,137.95071,36.3075
セブンイレブン／安曇野インター店,長野県駒ヶ根市上穂栄町 ２５−２８,137.93068,35.73898
セブンイレブン／駒ケ根上穂栄町店,長野県北佐久郡軽井沢町大字長倉借宿 ４６０８−１,138.58559,36.3545
セブンイレブン／軽井沢借宿店,長野県松本市寿北７丁目 １２−２４,137.97198,36.19134
セブンイレブン／松本寿北店,長野県千曲市大字稲荷山 １９１８−１,138.10078,36.53424
ローソン／千曲稲荷山店,長野県佐久市長土呂 ７５９−２,138.47504,36.28839
セブンイレブン／佐久長土呂北店,長野県松本市波田 ９８８０−４,137.87602,36.20729
ファミリーマート／松本波田店,長野県中野市大字吉田 ６８４−１,138.36191,36.75218
ファミリーマート／中野東吉田店,長野県松本市村井町南３丁目 １−８,137.96037,36.17381
ファミリーマート／松本村井店,長野県上田市岩下 １７７−５,138.28279,36.37439
ローソン／上田岩下店,長野県伊那市上新田 ２５４３−１,137.96242,35.82901
セブンイレブン／伊那上新田店,長野県岡谷市長地小萩３丁目 ２７２６,138.06325,36.07962
ローソン／岡谷小萩三丁目店,長野県小県郡長和町長久保 ２４４６−３,138.27177,36.25586
セブンイレブン／長和町店,長野県上伊那郡南箕輪村大芝 ２３８０−２２３,137.95107,35.88369
ファミリーマート／ＪＡ大芝高原店,長野県長野市稲田２丁目 ５５−１５,138.22548,36.67537
ファミリーマート／長野サンロード店,長野県上田市古里 １５４０−１１,138.2798,36.39157
セブンイレブン／上田岩門店,長野県諏訪市大字豊田 ２４１４−１０,138.09315,36.02869
ローソン／諏訪豊田小川店,長野県諏訪郡下諏訪町矢木西 １１,138.07382,36.08288
ファミリーマート下諏訪春宮大門店,長野県佐久市根岸 １１５−１,138.40465,36.19767
ファミリーマート／佐久根岸店,長野県伊那市小四郎久保 １３１３−１,137.95544,35.85507
ニューヤマザキデイリーストアー伊那中央病院店,長野県北安曇郡池田町大字池田 ２５２１−１,137.88002,36.41418
ファミリーマート／北安曇池田店,長野県諏訪市諏訪１丁目 ２−４,138.11708,36.04594
ファミリーマート／上諏訪駅前店,長野県飯田市下瀬 ３８７−１,137.7982,35.43052
ファミリーマート／信州天竜峡店,長野県千曲市上山田温泉４丁目 ３−１３,138.1474,36.47396
セブンイレブン／上山田店,長野県北安曇郡松川村 北細野５７８９−２１,137.86217,36.4115
ファミリーマート安曇野松川店,長野県長野市安茂里小市２丁目 ３３−１０,138.14749,36.62354
ファミリーマート／長野安茂里店,長野県茅野市ちの ２６７４,138.14398,35.99554
ファミリーマート／ちの本田店,長野県松本市筑摩４丁目 １７−１,137.99236,36.22437
セブンイレブン／松本筑摩４丁目店,長野県松本市 島内島高松１８５８−６,137.93459,36.25204
ファミリーマート／松本島高松店,長野県安曇野市明科中川手 ３５２１−１,137.93539,36.34468
ファミリーマート／安曇野明科店,長野県上伊那郡箕輪町大字三日町 ９６２−３,137.98888,35.88955
セブンイレブン箕輪三日町店,長野県埴科郡坂城町大字南条 ４８５９−３,138.21713,36.43658
ファミリーマート／テクノ坂城工業団地前店,長野県諏訪市沖田町４丁目 ４０−１,138.13141,36.00705
セブンイレブン／諏訪インター店,長野県長野市青木島町大塚 １５５４−１,138.18594,36.61694
ローソン／青木島大塚店,長野県飯田市山本 ５９７６,137.76099,35.4738
セブンイレブン／飯田山本店,長野県上田市常田３丁目 ９−１０,138.26096,36.39442
ファミリーマート／上田東高校前店,長野県南佐久郡小海町大字小海 ４３０２,138.48366,36.09092
ヤマザキショップ小海嶋屋,長野県長野市居町 １１５−１,138.20256,36.65086
ローソン／長野居町店,長野県佐久市協和 １１６−１,138.30962,36.20975
セブンイレブン／信州望月店,長野県上田市上田 １８２３,138.26151,36.4129
ローソン／上田バイパス店,長野県松本市浅間温泉１丁目 １０−２７,137.98622,36.25779
マイショップ・松本浅間店,長野県松本市浅間温泉２丁目 ４−１８,137.98636,36.26163
有限会社昭和堂,長野県松本市巾上 １０−１３,137.96211,36.22992
ファミリーマート／松本駅アルプス口店,長野県千曲市大字小島 ３１３５,138.12724,36.53222
モトキク酒店,長野県松本市深志１丁目 ２−１１,137.96745,36.23082
ファミリーマート／松本深志店,長野県松本市蟻ケ崎５丁目 １４２２−１,137.96284,36.25085
セブンイレブン／松本蟻ケ崎５丁目店,長野県塩尻市大字広丘原新田 ９１−５,137.94635,36.15101
ファミリーマート／塩尻広丘店,長野県茅野市ちの ２７６,138.14281,35.99912
セブンイレブン／茅野市ちの店,長野県駒ヶ根市赤穂 １４６３０−２,137.92206,35.72798
セブンイレブン／駒ケ根古田切店,長野県松本市野溝西３丁目 １３−１０,137.95013,36.19287
セブンイレブン／松本流通団地北店,長野県飯田市桐林 １０６１−４,137.82492,35.47407
ファミリーマート／飯田桐林店,長野県長野市大字鶴賀七瀬 ６８３−１,138.19339,36.64417
セブン・イレブン／長野七瀬西店,長野県長野市徳間１丁目 ２７−２,138.22064,36.67995
ファミリーマート／長野若槻大通り店,長野県長野市伊勢宮２丁目 ２４−２５,138.16922,36.62839
ファミリーマート／長野伊勢宮店,長野県長野市大字栗田 ９６６−２,138.1922,36.64217
ファミリーマート／長野駅東口店,長野県南佐久郡南牧村大字板橋 ８８０−５,138.48723,35.98181
ローソン野辺山店,長野県長野市若里１丁目 １６−２４,138.18456,36.63219
ファミリーマート／長野若里一丁目店,長野県諏訪市高島１丁目 １２８６−１,138.11111,36.03765
ファミリーマート／諏訪高島店,長野県長野市里島 １３,138.15213,36.58148
セブン・イレブン／長野里島店,長野県岡谷市赤羽１丁目 １−２,138.04951,36.07494
ファミリーマート／岡谷ＴＰＲ前店,長野県上田市材木町１丁目 ８−１２,138.26385,36.39949
セブンイレブン／上田材木町店,長野県岡谷市堀ノ内２丁目 ８−１２,138.06325,36.06955
セブンイレブン／岡谷西堀店,長野県上田市生田 ４２８０−２,138.25008,36.34755
セブンイレブン／丸子生田店,長野県須坂市大字井上 ５６３−１,138.27477,36.63578
セブン・イレブン／須坂インター店,長野県長野市安茂里小市１丁目 ３３−１,138.15247,36.62609
デイリーヤマザキ／長野小市１丁目店,長野県佐久市猿久保 ２４４−１,138.48358,36.25809
セブンイレブン／佐久駒場公園前店,長野県長野市大字南長野西後町 １６２０,138.18668,36.65372
セブン・イレブン／長野中央通り店,長野県上田市本郷 ７６９−１,138.20247,36.36622
セブンイレブン／上田塩田店,長野県飯田市江戸町２丁目 ２９０−１,137.83073,35.51648
セブンイレブン／飯田江戸町店,長野県諏訪市大字中洲 ５７０９−１５,138.11638,36.02499
ファミリーマート／諏訪中洲工業団地店,長野県長野市大字南長野北石堂町 １２０９−１,138.18336,36.64743
セブン・イレブン／長野山王店,長野県松本市大字稲倉 １０２０２−３,137.98558,36.28408
セブンイレブン／松本洞店,長野県飯田市上郷飯沼 ５２３−１,137.85791,35.51821
セブンイレブン／飯田上郷飯沼店,長野県須坂市大字須坂 １２２９−１１,138.30435,36.65707
セブン・イレブン／須坂馬場町店,長野県中野市大字草間 １５３４−１,138.32059,36.73428
セブンイレブン／中野市高丘店,長野県松本市寿北８丁目 ２２−１５,137.97545,36.19172
ローソン／松本寿北八丁目店,長野県長野市信州新町新町 １６４−１,138.01016,36.57145
セブン・イレブン／信州新町店,長野県安曇野市穂高有明 ９９９７−１,137.86205,36.34667
セブンイレブン／穂高富田店,長野県須坂市墨坂南３丁目 １０−１４,138.29967,36.64479
ローソン／須坂墨坂南店,長野県上伊那郡箕輪町大字中箕輪木下 １３７８９−２,137.95253,35.92954
ファミリーマート箕輪木下原町店,長野県岡谷市湊５丁目 ２０−１,138.07805,36.0281
セブンイレブン／岡谷湊５丁目店,長野県塩尻市大字広丘野村 ８２４−３,137.95724,36.14801
セブンイレブン／塩尻広丘野村店,長野県長野市大字稲葉 １４０４,138.2081,36.6335
セブン・イレブン／長野母袋店,長野県長野市大字大豆島 ４１８９−３,138.23753,36.6298
セブン・イレブン／長野大豆島東店,長野県塩尻市大字広丘高出 ２２２５−１,137.9511,36.12497
ローソン／塩尻桔梗ヶ原店,長野県伊那市美篶 ８３２１−１,137.9913,35.85031
セブンイレブン／伊那みすず団地前店,長野県佐久市取出町 ２０７−１９,138.46919,36.21768
ファミリーマート／佐久取出町店,長野県中野市大字若宮 １２２−１,138.36446,36.76235
セブンイレブン／中野市若宮店,長野県北佐久郡軽井沢町軽井沢東 １９５,138.6319,36.34353
ファミリーマートヤオトク／軽井沢店,長野県上伊那郡南箕輪村塩ノ井 ３６１−２,137.98061,35.88467
セブンイレブン／南箕輪塩ノ井店,長野県茅野市玉川神之原 ２２９６−６,138.19049,35.99382
ファミリーマート／茅野神之原西店,長野県上田市芳田 １６６１−１,138.30817,36.40312
ローソン／上田芳田新町店,長野県飯山市大字木島 ７０１−６８,138.37555,36.8537
セブンイレブン／飯山木島店,長野県上田市下之条 ７３８−１,138.22079,36.40194
マイショップちくま店,長野県伊那市西春近沢渡 ５５１４,137.91621,35.81862
セブンイレブン／伊那沢渡店,長野県東御市県 １３７−７,138.33089,36.35763
セブン・イレブン／東部田中店,長野県下伊那郡阿智村駒場 １２１−２,137.74905,35.44656
ファミリーマート阿智パーキングエリア下り店,長野県安曇野市豊科 ４７８１−１,137.90382,36.30153
ローソン／安曇野警察署前店,長野県長野市大字鶴賀 ９８５−１,138.19667,36.64503
セブン・イレブン／長野南千歳店,長野県塩尻市大字宗賀桔梗ケ原 ７３−１１５,137.9209,36.08081
ファミリーマート／塩尻宗賀店,長野県上田市上田 ２０１９−３,138.25948,36.4149
セブンイレブン／上田新田東店,長野県小諸市 四ッ谷１６,138.42592,36.32722
ヤマザキデイリーストア小諸四ツ谷店,長野県中野市大字七瀬 ３７８,138.35201,36.75732
セブンイレブン／中野市七瀬店,長野県佐久市岩村田 １１８５−１,138.46635,36.26618
セブンイレブン／佐久岩村田店,長野県松本市大字和田 ４４６８,137.90213,36.19568
セブンイレブン／松本南和田店,長野県安曇野市豊科南穂高 １１０４−２,137.92232,36.3024
デイリーヤマザキ／安曇野インター店,長野県飯田市上郷黒田 １２６４−１,137.83037,35.53331
セブンイレブン／飯田上郷黒田店,長野県下伊那郡松川町元大島 １２５９,137.91483,35.59215
セブンイレブン／下伊那松川店,長野県上水内郡飯綱町大字普光寺 ２９９−２,138.23863,36.75865
ファミリーマート飯綱町塩ノ入店,長野県松本市征矢野１丁目 ６−４５,137.95473,36.22375
セブンイレブン／松本征矢野店,長野県長野市川中島町原 １２８８,138.15291,36.58945
セブン・イレブン／長野南原店,長野県長野市大字東和田 ９０１−１,138.22285,36.65183
ファミリーマート／長野東和田店,長野県岡谷市神明町４丁目 ５１−１,138.04196,36.08332
ファミリーマート／岡谷神明町店,長野県茅野市ちの ２６７４,138.14398,35.99554
サークルＫ／ちの本田店,長野県須坂市大字小河原 ３４９１−１,138.30786,36.67378
セブン・イレブン／北須坂駅前店,長野県松本市大字里山辺 １４２１−１,137.99507,36.24156
セブンイレブン／松本里山辺店,長野県千曲市大字屋代 ３９−１,138.13599,36.54668
ファミリーマート／千曲あんずの里店,長野県長野市大字大豆島 ５２７６−２,138.23479,36.6274
ファミリーマート／長野大豆島店,長野県上田市西内 ９４５−１,138.15048,36.30737
セブンイレブン／鹿教湯温泉店,長野県長野市吉田１丁目 ６−１３,138.21548,36.66948
ファミリーマート／長野吉田店,長野県木曽郡木曽町福島 ６２０６−１,137.69183,35.84412
セブンイレブン／木曽町福島店,長野県伊那市美篶 ５７８２−１,138.00255,35.84495
ファミリーマート／伊那上川手店,長野県上伊那郡飯島町飯島 １７９３−７,137.91693,35.68024
ファミリーマートＪＡいいじま店,長野県下伊那郡高森町吉田 ２３０７−４５,137.89136,35.55634
セブンイレブン／高森吉田店,長野県大町市平 １０３５３−２,137.8418,36.54115
ローソン大町木崎湖店,長野県駒ヶ根市 赤穂新田１５−１８３,137.92206,35.72798
デイリーヤマザキ駒ケ岳ＳＡ下り店,長野県飯田市上殿岡 ４３０−６,137.80438,35.49726
セブンイレブン飯田殿岡店,長野県松本市県１丁目 ７−１５,137.9814,36.23402
セブンイレブン／松本あがた店,長野県安曇野市豊科 ３１００−１Ｆ,137.92075,36.2847
ニューヤマザキデイリーストア長野県立こども病院店,長野県長野市篠ノ井東福寺 １３１４−５,138.17543,36.58525
セブン・イレブン／篠ノ井さいなみ団地店,長野県長野市若穂綿内 ８５６４−１,138.2574,36.62265
ファミリーマート／長野若穂綿内店,長野県上田市上塩尻 ２２４−１,138.2195,36.4157
セブンイレブン／上田上塩尻店,長野県小諸市大字御影新田 ２５９５−１,138.46722,36.29797
セブンイレブン／小諸御影店,長野県上田市 下之郷乙５３６−１,138.21762,36.36835
ファミリーマート／上田長野大学前店,長野県佐久市長土呂 １１９５−１,138.47487,36.28729
セブンイレブン／佐久長土呂店,長野県長野市田中 １３１２−１,138.22964,36.69611
ローソン／長野田中店,長野県安曇野市穂高 ８３１−１,137.89635,36.32467
ファミリーマート／穂高矢原店,長野県飯田市大瀬木 ９１８−１,137.77866,35.49577
セブンイレブン／飯田大瀬木店,長野県須坂市大字亀倉 ９７−１,138.33287,36.61949
ファミリーマート／信州須坂亀倉店,長野県上伊那郡辰野町大字伊那富 ２６７２−１,137.99377,35.97641
セブンイレブン／辰野伊那富店,長野県飯田市上殿岡 ５８２−１,137.80711,35.50129
ファミリーマート／飯田上殿岡店,長野県長野市 三輪武井１３０３−３,138.20612,36.65677
セブン・イレブン／長野大通り店,長野県長野市大字南長野北石堂町 １４５４−１,138.18336,36.64743
ファミリーマート／長野中央通り店,長野県南佐久郡南牧村大字野辺山 ６９−８,138.47824,35.95007
セブンイレブン南牧野辺山店,長野県長野市豊野町浅野 １４８８,138.2943,36.72016
ファミリーマート／長野アップルライン店,長野県埴科郡坂城町大字上五明 ５３１,138.16696,36.4511
セブンイレブン／坂城村上店,長野県小諸市三和１丁目 ３０２５−１４,138.42998,36.32986
セブンイレブン／小諸三和一丁目店,長野県長野市中御所４丁目 ９−１,138.18172,36.63583
ファミリーマート／長野中御所四丁目店,長野県長野市三輪２丁目 ５−１３,138.20706,36.65923
セブン・イレブン／長野三輪２丁目店,長野県須坂市大字須坂新町 ８５６−７,138.30896,36.65745
セブン・イレブン／須坂新町店,長野県飯田市鼎下山 ９１３−１,137.83307,35.50769
ローソン／飯田西鼎店,長野県下伊那郡下條村陽皐 ７５３−１,137.78783,35.38293
ファミリーマート下條ひさわ店,長野県岡谷市幸町 ７−１,138.04938,36.06578
セブンイレブン／岡谷市役所前店,長野県千曲市大字八幡 ５８５０−１,138.10661,36.51533
